,date,value
0,2020,
1,2019,2.0
2,2018,2.5
3,2017,2.5
4,2016,2.5
5,2015,2.5
6,2014,2.5
7,2013,2.5
8,2012,2.5
9,2011,2.5
10,2010,2.5
11,2009,2.5
12,2008,2.5
13,2007,3.0
14,2006,3.0
15,2005,3.0
16,2004,3.0
17,2003,3.0
18,2002,
19,2001,
20,2000,
21,1999,
22,1998,
23,1997,
24,1996,
25,1995,
26,1994,
27,1993,
28,1992,
29,1991,
30,1990,
31,1989,
32,1988,
33,1987,
34,1986,
35,1985,
36,1984,
37,1983,
38,1982,
39,1981,
40,1980,
41,1979,
42,1978,
43,1977,
44,1976,
45,1975,
46,1974,
47,1973,
48,1972,
49,1971,
