Country,Cost
Canada,0.3
United States,1.0
Russian Federation,1.0
China,1.1
Australia,0.7
Brazil,4.2
Israel,2.7
Bolivia,37.3
"Venezuela, RB",211.8
"Egypt, Arab Rep.",20.3
Nigeria,26.1
Chad,169.3
South Africa,0.2
United Kingdom,0.0
Denmark,0.2
Germany,6.5
Spain,3.9
Estonia,1.0
United Arab Emirates,17.2
"Iran, Islamic Rep.",1.1
India,7.2
Kazakhstan,0.2
Singapore,0.4
Thailand,3.0
Indonesia,5.7
Afghanistan,6.8
Belgium,5.3
Cameroon,24.8
Bulgaria,1.0
Chile,2.7
Cuba,
Ethiopia,45.4
Greece,1.5
Italy,13.8
Kuwait,1.7
Lebanon,42.3
New Zealand,0.2
Switzerland,2.3
Ukraine,0.5
Albania,10.8
Azerbaijan,1.2
Algeria,11.3
Armenia,0.8
Bangladesh,8.7
Burundi,12.3
Colombia,14.1
Costa Rica,9.6
Denmark,0.2
Eritrea,21.3
Ghana,12.3
"Hong Kong SAR, China",0.5
Hungary,4.5
Libya,24.6
Morocco,3.6
Qatar,6.3
Romania,0.3
Tajikistan,17.5
Sweden,0.5
Tunisia,2.9
