Country or Area,Year,Item,Value,Region,GVA
Afghanistan,2019,"Agriculture, hunting, forestry, fishing (ISIC A-B)",4872437789.24584,South Asia,18016903621.1764
Afghanistan,2019,"Mining, Manufacturing, Utilities (ISIC C-E)",2073301074.97761,South Asia,18016903621.1764
Afghanistan,2019,Manufacturing (ISIC D),1331477481.91232,South Asia,18016903621.1764
Afghanistan,2019,Construction (ISIC F),584313408.729056,South Asia,18016903621.1764
Afghanistan,2019,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)",2075666252.38379,South Asia,18016903621.1764
Afghanistan,2019,"Transport, storage and communication (ISIC I)",1503540175.60797,South Asia,18016903621.1764
Afghanistan,2019,Other Activities (ISIC J-P),6907644920.25784,South Asia,18016903621.1764
Argentina,2019,"Agriculture, hunting, forestry, fishing (ISIC A-B)",27120476098.6038,Latin America and Caribbean,373424116751.979
Argentina,2019,"Mining, Manufacturing, Utilities (ISIC C-E)",87181816820.6326,Latin America and Caribbean,373424116751.979
Argentina,2019,Manufacturing (ISIC D),57921168821.3693,Latin America and Caribbean,373424116751.979
Argentina,2019,Construction (ISIC F),17096264346.8535,Latin America and Caribbean,373424116751.979
Argentina,2019,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)",68644312630.7884,Latin America and Caribbean,373424116751.979
Argentina,2019,"Transport, storage and communication (ISIC I)",26570009284.8233,Latin America and Caribbean,373424116751.979
Argentina,2019,Other Activities (ISIC J-P),146811237570.278,Latin America and Caribbean,373424116751.979
Australia,2019,"Agriculture, hunting, forestry, fishing (ISIC A-B)",27624483294.7339,East Asia and Pacific,1290951374166.27
Australia,2019,"Mining, Manufacturing, Utilities (ISIC C-E)",252064199122.687,East Asia and Pacific,1290951374166.27
Australia,2019,Manufacturing (ISIC D),77817511814.7819,East Asia and Pacific,1290951374166.27
Australia,2019,Construction (ISIC F),98556381665.5996,East Asia and Pacific,1290951374166.27
Australia,2019,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)",135436992472.271,East Asia and Pacific,1290951374166.27
Australia,2019,"Transport, storage and communication (ISIC I)",91839693417.7331,East Asia and Pacific,1290951374166.27
Australia,2019,Other Activities (ISIC J-P),685429624193.243,East Asia and Pacific,1290951374166.27
Bangladesh,2019,"Agriculture, hunting, forestry, fishing (ISIC A-B)",38174109315.5706,South Asia,286535247834.097
Bangladesh,2019,"Mining, Manufacturing, Utilities (ISIC C-E)",66001912472.0345,South Asia,286535247834.097
Bangladesh,2019,Manufacturing (ISIC D),56996900277.3093,South Asia,286535247834.097
Bangladesh,2019,Construction (ISIC F),23255749930.3833,South Asia,286535247834.097
Bangladesh,2019,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)",41200862876.9747,South Asia,286535247834.097
Bangladesh,2019,"Transport, storage and communication (ISIC I)",26763241284.5776,South Asia,286535247834.097
Bangladesh,2019,Other Activities (ISIC J-P),91139371954.5564,South Asia,286535247834.097
Brazil,2019,"Agriculture, hunting, forestry, fishing (ISIC A-B)",79115597827.0156,Latin America and Caribbean,1618571595928.81
Brazil,2019,"Mining, Manufacturing, Utilities (ISIC C-E)",289549786429.214,Latin America and Caribbean,1618571595928.81
Brazil,2019,Manufacturing (ISIC D),194401716241.191,Latin America and Caribbean,1618571595928.81
Brazil,2019,Construction (ISIC F),63310760347.1444,Latin America and Caribbean,1618571595928.81
Brazil,2019,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)",249730996740.354,Latin America and Caribbean,1618571595928.81
Brazil,2019,"Transport, storage and communication (ISIC I)",128164803708.345,Latin America and Caribbean,1618571595928.81
Brazil,2019,Other Activities (ISIC J-P),808699650876.737,Latin America and Caribbean,1618571595928.81
Canada,2019,"Agriculture, hunting, forestry, fishing (ISIC A-B)",31669361704.2335,North America,1622650477007.99
Canada,2019,"Mining, Manufacturing, Utilities (ISIC C-E)",289163267230.34,North America,1622650477007.99
Canada,2019,Manufacturing (ISIC D),171238814017.371,North America,1622650477007.99
Canada,2019,Construction (ISIC F),123252874140.523,North America,1622650477007.99
Canada,2019,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)",206729459075.085,North America,1622650477007.99
