Country Name,Country Code,Gdp,Gnp,Region
Denmark,DNK,356084867685.64,368105773886.80,Europe and Central Asia,
Germany,DEU,3846413928653.71,3953466258964.99,Europe and Central Asia,
Ireland,IRL,425888950992.00,324082622327.08,Europe and Central Asia,
Kazakhstan,KAZ,171082379532.99,156099005593.99,Europe and Central Asia,
Spain,ESP,1281484640043.58,1289015138989.89,Europe and Central Asia,
United Kingdom,GBR,2759804061837.07,2723174554778.90,Europe and Central Asia,
Turkey,TUR,719954821683.31,711144574236.81,Europe and Central Asia,
Russian Federation,RUS,1483497784867.60,1448704617346.39,Europe and Central Asia,
Poland,POL,596624355719.67,574989614585.74,Europe and Central Asia,
Netherlands,NLD,913865395789.89,897972879129.96,Europe and Central Asia,
Greece,GRC,188835201625.91,188028901406.49,Europe and Central Asia,
Italy,ITA,1888709443687.48,1911916584229.11,Europe and Central Asia,
Czech Republic,CZE,245339322066.76,236796716967.72,Europe and Central Asia,
France,FRA,2630317731455.26,2671813716093.39,Europe and Central Asia,
Estonia,EST,30650285471.72,30588229008.75,Europe and Central Asia,
Uzbekistan,UZB,59929951114.36,59739217563.64,Europe and Central Asia,
Iraq,IRQ,166756984395.97,164946731319.88,Middle East and North Africa,
"Egypt, Arab Rep.",EGY,365252651278.85,353898651278.85,Middle East and North Africa,
Israel,ISR,407100736594.06,402948235519.35,Middle East and North Africa,
Lebanon,LBN,31735217784.54,31004850691.27,Middle East and North Africa,
Saudi Arabia,SAU,700117873253.33,715551421493.33,Middle East and North Africa,
United Arab Emirates,ARE,358868765174.92,358405865243.00,Middle East and North Africa,
"Iran, Islamic Rep.",IRN,203471303952.34,202972172216.73,Middle East and North Africa,
Jordan,JOR,43697659295.77,43573532535.21,Middle East and North Africa,
Qatar,QAT,144411363345.27,141358890817.80,Middle East and North Africa,
Afghanistan,AFG,20116137325.82,20304823185.27,South Asia,
Bangladesh,BGD,323056957972.31,338847844366.53,South Asia,
India,IND,2660245248867.63,2635412344092.96,South Asia,
Singapore,SGP,339998477929.99,298439225918.68,East Asia & Pacific,
Thailand,THA,501643653514.93,487334575329.86,East Asia & Pacific,
Vietnam,VNM,271158442448.54,255541015350.05,East Asia & Pacific,
Philippines,PHL,361489325230.73,389323888010.06,East Asia & Pacific,
New Zealand,NZL,210700848973.51,203803178806.69,East Asia & Pacific,
Pakistan,PAK,262610002938.51,257151004622.62,East Asia & Pacific,
Chad,TCD,10829076801.73,9948225335.74,Sub-Saharan Africa,
China,CHN,14722730697890.10,14618341351727.30,East Asia & Pacific,
Cote d'Ivoire,CIV,61348579465.10,59471452570.08,Sub-Saharan Africa,
Ethiopia,ETH,107645054311.88,107062239280.07,Sub-Saharan Africa,
Mali,MLI,17465392915.92,16749289497.66,Sub-Saharan Africa,
Malaysia,MYS,337006066373.26,330206018793.86,East Asia & Pacific,
Nigeria,NGA,432293776262.40,416521073586.08,Sub-Saharan Africa,
Kenya,KEN,101013726529.06,99325669699.05,Sub-Saharan Africa,
Japan,JPN,5057758958706.64,5146353156320.97,East Asia & Pacific,
Sudan,SDN,21329109521.81,19857202368.37,Sub-Saharan Africa,
South Africa,ZAF,335442101366.42,329818707620.71,Sub-Saharan Africa,
Brazil,BRA,1444733258971.65,1417068693062.22,Latin America & Caribbean,
Bolivia,BOL,36572764862.82,36136680932.93,Latin America & Caribbean,
Argentina,ARG,389288056265.33,379089872799.57,Latin America & Caribbean,
Chile,CHL,252940023046.01,242004999226.59,Latin America & Caribbean,
Colombia,COL,271437596293.84,266094191597.49,Latin America & Caribbean,
Dominican Republic,DOM,78844702329.08,74984131332.43,Latin America & Caribbean,
Honduras,HND,23662231633.91,22047103270.94,Latin America & Caribbean,
Peru,PER,202014363787.23,195843944032.73,Latin America & Caribbean,
Panama,PAN,53977036995.17,52307035334.02,Latin America & Caribbean,
Mexico,MEX,1073915880822.50,1037040166520.83,Latin America & Caribbean,
United States,USA,20953030000000.00,21286637000000.00,North America,
Canada,CAN,1645423407568.36,1627048914857.45,North America,
Luxembourgh,LUX,73353132793,51803961862,Europe and Central Asia,
