Country Name,Country Code,GDP,Agriculture forestry and fishing (% of GDP),Industry (including construction)(% of GDP),Manufacturing (% of GDP),Services (% of GDP),Region
Afghanistan,AFG,20116137325.8206,26.8206001075115,14.0316990961127,7.67625685837314,54.6883422622417,Europe and Central Asia
Armenia,ARM,12641209802.112,11.2134239063556,27.0552261162168,12.3857263612884,53.1559956484857,Europe and Central Asia
Denmark,DNK,356084867685.639,1.30632929331133,21.1671064165408,13.956522962686,64.5501646665762,Europe and Central Asia
France,FRA,2630317731455.26,1.59684045057016,16.4450292245295,9.3914523679251,71.1633794499014,Europe and Central Asia
Germany,DEU,3846413928653.71,0.735309838577486,26.531732174037,18.1700697240732,63.312546769768,Europe and Central Asia
Finland,FIN,269594831987.549,2.45305721258135,24.0259795281996,14.464564126898,60.0109307212581,Europe and Central Asia
Estonia,EST,30650285471.7215,2.16649665555797,22.6521017461053,12.860307810227,62.6920487978899,Europe and Central Asia
Croatia,HRV,57203783203.0259,3.21650747053823,21.155323837003,12.1244982533081,59.3496988484989,Europe and Central Asia
Greece,GRC,188835201625.91,4.23080455249904,14.9974994620793,8.92974660366912,68.5575869851709,Europe and Central Asia
Hungary,HUN,155808436238.487,3.37760652926716,24.5188016898806,17.4901730059,56.6387778199847,Europe and Central Asia
Ireland,IRL,425888950992.003,0.92947432961091,37.953621617397,34.516439081026,54.7862816119187,Europe and Central Asia
Italy,ITA,1888709443687.48,1.98709198457744,21.6239858653107,14.846044079466,66.685111526695,Europe and Central Asia
Kazakhstan,KAZ,171082379532.988,5.3912826934481,33.0977971542858,13.0725321801007,56.1027808941057,Europe and Central Asia
Poland,POL,596624355719.671,2.50217479507069,27.6823905209881,16.0247582796941,57.8404800709688,Europe and Central Asia
Netherlands,NLD,913865395789.886,1.58231210043807,17.7738893506396,10.7658465557215,69.849580362332,Europe and Central Asia
Portugal,PRT,228539245045.341,2.10540263892753,19.3593039319769,11.8620906243097,65.6519429685115,Europe and Central Asia
Russian Federation,RUS,1483497784867.6,3.70019612016722,29.9864875406902,13.2557790540318,56.2674931879226,Europe and Central Asia
Sweden,SWE,541220059459.25,1.39431761008056,21.1099172605382,12.1233853928861,66.1383476662272,Europe and Central Asia
United Kingdom,GBR,2759804061837.07,0.58179561339858,17.0249079504944,8.64893716848938,72.8214021255701,Europe and Central Asia
Ukraine,UKR,155498989149.587,9.26623573665558,20.8271308420311,10.1005662397444,55.6677649847419,Europe and Central Asia
Turkey,TUR,719954821683.31,6.68055966342634,28.0187682564406,19.1274588397952,54.2002036583648,Europe and Central Asia
Spain,ESP,1281484640043.58,3.14800685949794,20.3703736715071,11.0268925119524,67.762231404664,Europe and Central Asia
Switzerland,CHE,752248045730.11,0.689423075489432,25.2456703536791,18.1398324720252,71.3212002717896,Europe and Central Asia
Afghanistan,AFG,20116137325.8206,26.8206001075115,14.0316990961127,7.67625685837314,54.6883422622417,Middle East and North Africa
"Egypt, Arab Rep.",EGY,365252651278.852,11.5676091272417,32.0091448983775,16.3775913663535,51.7605072092229,Middle East and North Africa
Iraq,IRQ,166756984395.973,5.8941231350797,41.0941406218451,3.01268822718892,54.2567753571659,Middle East and North Africa
Lebanon,LBN,31735217784.5445,3.00514379323451,6.86134357856367,3.11335124148089,87.1604295313045,Middle East and North Africa
Israel,ISR,407100736594.064,1.15367926814537,18.5873768063429,11.3237666140991,71.3993810492991,Middle East and North Africa
"Iran, Islamic Rep.",IRN,203471303952.344,11.3187611227026,33.8812297168371,17.6914022128883,54.5950564301035,Middle East and North Africa
Morocco,MAR,114725065285.149,11.6822897401702,26.132217736051,15.2711145540104,50.8217831505772,Middle East and North Africa
Qatar,QAT,144411363345.27,0.338750393788988,52.3334307302059,7.91126041083111,52.7438680390161,Middle East and North Africa
Oman,OMN,73971391417.4252,2.56451726320231,47.4773222698826,7.97693551789607,54.7208353842908,Middle East and North Africa
Saudi Arabia,SAU,700117873253.333,2.56257227419401,41.364628298128,12.9655544970145,56.2353479913047,Middle East and North Africa
Kuwait,KWT,105960225688.145,0.457473380294611,45.426356608416,6.60708567364917,69.0580617206787,Middle East and North Africa
United Arab Emirates,ARE,358868765174.924,0.918609462781534,40.8667704467958,9.6837734332621,58.2146200904227,Middle East and North Africa
Tunisia,TUN,41620349986.3089,10.0530771963153,21.6882951887123,13.5498990386964,60.9990907695851,Middle East and North Africa
Jordan,JOR,43697659295.7747,5.20222469388658,23.9135289229934,17.2705279882188,61.5878983765208,Middle East and North Africa
Australia,AUS,1327836171068.51,2.00609228488954,25.4620958711998,5.65111420964366,66.2808084948704,East Asia and Pacific
Cambodia,KHM,25808561550.9514,22.379225555763,34.8012044040367,16.4305741009632,36.5989718241703,East Asia and Pacific
"Korea, Rep.",KOR,1637895802792.9,1.832292166929,32.582630319265,24.8106926282687,57.1212440364246,East Asia and Pacific
Indonesia,IDN,1058423838345.14,13.7039348025591,38.2611735100338,19.8782656783251,44.39914605479,East Asia and Pacific
China,CHN,14722730697890.1,7.65306654755744,37.8209172526162,26.1759067199929,54.5260161998263,East Asia and Pacific
Mongolia,MNG,13312981594.573,12.9656563032859,37.0496708510144,7.7561646851732,40.4904557976659,East Asia and Pacific
Malaysia,MYS,337006066373.26,8.19452140857896,35.9255402882243,22.279181564374,54.7677722442036,East Asia and Pacific
Vietnam,VNM,271158442448.537,14.8531616544669,33.724107739453,16.6961352392166,41.6252763920107,East Asia and Pacific
Thailand,THA,501643653514.925,8.63113973079609,33.09883639526,25.2363219780809,58.2700238739439,East Asia and Pacific
Singapore,SGP,339998477929.985,0.0324027560249407,24.3650392169277,20.535502442038,70.9479447592699,East Asia and Pacific
